date,famille_transport,ligne,incidents
2019-01-23,transilien,A,"['Défaut de signalisation entre Nation et Auber', 'Malaise voyageur à Auber', ""Panne d'une rame à Cergy-le-Haut""]"
2019-01-23,transilien,B,['Intervention de police à Gare-du-Nord pour un individu menaçant']
2019-01-23,transilien,C,"[""Signal d'alarme à Bibiliothèque-François-Mitterand pour un sac à main coincé dans une porte"", 'Heurt de 2 poubelles placées sur la voie à Igny']"
2019-01-23,transilien,D,"['Restitution tardive de travaux de nuit à Combs la Ville (avarie sur un aiguillage)', 'Intervention de police à Gare-du-Nord pour un individu menaçant', 'Dérangement de signalisation à Goussainville', 'Avarie sur une rame à St-Denis', 'Conséquences des chutes de neige']"
2019-01-23,transilien,E,"[""Signaux d'alarme malveillants à Haussamann-St-Lazare, et Noisy-le-Sec"", ""Dérangement de la signalisation à Noisy-le-Sec\nPanne d'une rame avant le départ""]"
2019-01-23,transilien,H,
2019-01-23,transilien,J,['Avarie sur une rame à Asnières']
2019-01-23,transilien,K,
2019-01-23,transilien,L,
2019-01-23,transilien,N,"['Conséquences des chutes de neige et de givre sur les caténaires', 'Difficulté de sortie des rames depuis les garages de Trappes']"
2019-01-23,transilien,P,"['Dérangement de la signalisation à Noisy-le-Sec', 'Conséquences des chutes de neige']"
2019-01-23,transilien,R,"['Retard des travaux de nuit à Combs (avarie sur un aiguillage)', ""Retard d'un train au départ de Gare-de-Lyon (attente conducteur)""]"
2019-01-23,transilien,U,"['Conséquences des chutes de neige et de givre sur les caténaires', 'Difficulté de sortie des rames depuis les garages de Trappes']"
2019-01-23,transilien,T4,
2019-01-23,transilien,T11,['Absences de conducteurs']
2019-01-23,ter,Grand Est,
2019-01-23,ter,Nouvelle-Aquitaine,
2019-01-23,ter,Auvergne-Rhône-Alpes,"['Aiguillages bloqués à St-Germain-au-Mont-d’Or suite aux intempéries (26 trains impactés)', 'Limitation de la vitesse des TGVs suite aux intempéries (20 trains impactés)', 'Accident de personne à Chambéry-Poste-Bois (12 trains impactés)', 'Ralentissement de la vitesse des trains à Clermont-Ferrand dû aux fortes chutes de neige (10 trains impactés)', 'Panne matériel sur un train à Alixan-Châteauneuf-d’Isère (8 trains impactés)']"
2019-01-23,ter,Bourgogne-Franche-Comté,"['Panne sur des aiguillages suite aux intempéries à Gevrey-Chambertin (13 trains impactés)', 'Restitution tardive de travaux de nuit à Combs la Ville (10 trains impactés)', 'Panne matériel sur un train à Besançon (6 trains impactés)']"
2019-01-23,ter,Bretagne,
2019-01-23,ter,Centre-Val de Loire,"['Présence de givre sur la caténaire avec des difficulté de captage de courant à Rambouillet (10 trains impactés)', 'Restitution tardive de travaux à Paris-Montparnasse (6 trains impactés)', ""Mise à quai tardive d'un train en gare de Paris-Montparnasse suite à difficulté lors des manœuvres (5 trains impactés)""]"
2019-01-23,ter,Occitanie,
2019-01-23,ter,Hauts-de-France,['Nombreuses perturbations liées aux fortes chutes de neige surtout le territoire régional (249 trains impactés)']
2019-01-23,ter,Normandie,"[""Panne matériel sur un train à Pont l'Evèque (5 trains impactés)"", ""Heurt d'un chevreuil peu après la gare du Havre (5 trains impactés)""]"
2019-01-23,ter,Pays de la Loire,
2019-01-23,ter,Provence-Alpes-Côte d'Azur,
2019-01-23,tgv,nord,['Réduction de vitesse sur la ligne à grande vitesse suite aux chutes de neige']
2019-01-23,tgv,est,['Réduction de vitesse sur la ligne à grande vitesse suite aux chutes de neige']
2019-01-23,tgv,atlantique,
2019-01-23,tgv,sudest,['Réduction de vitesse sur la ligne à grande vitesse suite aux chutes de neige']
2019-01-23,tgv,ouigo,['Réduction de vitesse sur la ligne à grande vitesse suite aux chutes de neige']
2019-01-23,tgv,europe,['Réduction de vitesse sur les lignes à grande vitesse suite aux chutes de neige']
2019-01-23,intercites,Paris-Limoges-Toulouse,
2019-01-23,intercites,Paris-Clermont,
2019-01-23,intercites,Bordeaux-Marseille,
2019-01-23,intercites,Nantes-Bordeaux,
2019-01-23,intercites,Nantes-Lyon,
2019-01-23,intercites,Toulouse-Bayonne,['Travaux : aucune circulation']
2019-01-23,intercites,Clermont-Béziers,
2019-01-23,intercites,Paris-Caen-Cherbourg Trouville/Deauville,"['Avarie sur une rame Transilien à Asnières sur Seine', 'Pannes de matériels à Paris St Lazare', 'Panne de signalisation à Villennes sur Seine']"
2019-01-23,intercites,Paris-Rouen-Le Havre,"['Avarie sur une rame Transilien à Asnières sur Seine', 'Pannes de matériels à Paris St Lazare']"
2019-01-23,intercites,Paris-Granville,
2019-01-23,intercites,Caen-Le Mans-Tours,
2019-01-23,intercites,Paris-Toulouse-Latour De Carol/Cerbere/Rodez,
2019-01-23,intercites,Paris-Briançon,
2019-03-22,transilien,A,
2019-03-22,transilien,B,
2019-03-22,transilien,C,
2019-03-22,transilien,D,
2019-03-22,transilien,E,['Suicide à Val-de-Fontenay']
2019-03-22,transilien,H,
2019-03-22,transilien,J,
2019-03-22,transilien,K,
2019-03-22,transilien,L,
2019-03-22,transilien,N,"['Brouillard important en matinée entre Dreux et Plaisir-Grignon', 'Gène de la réception des trains à Paris-Montparnasse par un train TER', 'Panne sur un train de service entre Plaisir-Grignon et Mantes-la-Jolie']"
2019-03-22,transilien,P,"['Suicide à Val-de-Fontenay', 'Panne sur un train TER à Longueville']"
2019-03-22,transilien,R,
2019-03-22,transilien,U,
2019-03-22,transilien,T4,"[""Ligne fermée pour travaux jusqu'au 5 mai""]"
2019-03-22,transilien,T11,
2019-03-22,ter,Grand Est,
2019-03-22,ter,Nouvelle-Aquitaine,
2019-03-22,ter,Auvergne-Rhône-Alpes,"['Bagage oublié à Valence TGV : détournement de TGVs par ligne classique (15 trains impactés)', ""Présence d'une personne suicidaire à Tenay (12 trains impactés)"", 'Incendie le long des voies à Villefranche sur Saone (84 trains impactés)']"
2019-03-22,ter,Bourgogne-Franche-Comté,
2019-03-22,ter,Bretagne,
2019-03-22,ter,Centre-Val de Loire,['Panne matériel sur un train à  Artenay (14 trains impactés)']
2019-03-22,ter,Occitanie,"[""Ralentissement des trains suite à l'incendie d'une maison à proximité des voies à Lacourtensourt (23 trains impactés)"", ""Panne d'un train de marchandises à Frontignan (27 trains impactés)""]"
2019-03-22,ter,Hauts-de-France,"[""Signalement d'un corps a Crouy (12 trains impactes)""]"
2019-03-22,ter,Normandie,
2019-03-22,ter,Pays de la Loire,
2019-03-22,ter,Provence-Alpes-Côte d'Azur,"[""Suites de l'incendie de la gare de ChateauArnoux (8 trains impactés)"", ""Présence d'une personne dans les voies à l'Estaque (6 trains impactes)""]"
2019-03-22,tgv,nord,
2019-03-22,tgv,est,"[""Dérangement d'installation à Domnom lès Dieuze (LGV EE) (8 trains)""]"
2019-03-22,tgv,atlantique,"['Manifestation de forains dans les voies en gare du Mans (14 trains)', ""Dérangement d'installation à Auvers le Hamon (LGV ATL) (5 trains)""]"
2019-03-22,tgv,sudest,
2019-03-22,tgv,ouigo,"[""Dérangement d'installation à Domnom lès Dieuze (LGV EE) (un train)"", 'Manifestation de forains dans les voies en gare du Mans (un train)', ""Dérangement d'installation à Auvers le Hamon (LGV ATL) (un train)""]"
2019-03-22,tgv,europe,['Bagage oublié à Valence TGV (18 trains)']
2019-03-22,intercites,Paris-Limoges-Toulouse,"[""Panne d'un train TER à La Ferté St Aubin"", ""Panne d'un train de service à Château Gaillard""]"
2019-03-22,intercites,Paris-Clermont,"['Panne de locomotive à Clermont Ferrand', 'Intervention Pompiers à Nevers pour un voyageur malade', 'Heurt de sangliers par un TER à La Charité']"
2019-03-22,intercites,Bordeaux-Marseille,"[""Ralentissements à St Jory, conséquences de l'incendie du bâtiment aux abords des voies le 20/03"", ""Panne d'un train de marchandises à Frontignan""]"
2019-03-22,intercites,Nantes-Bordeaux,
2019-03-22,intercites,Nantes-Lyon,"['Changement de matériel à Roanne (conséquence du train limité Roanne la veille)', 'Incendie le long des voies  à Villefranche sur Saône']"
2019-03-22,intercites,Toulouse-Bayonne,['Travaux de modernisation des voies : pas de circulation']
2019-03-22,intercites,Clermont-Béziers,
2019-03-22,intercites,Paris-Caen-Cherbourg Trouville/Deauville,
2019-03-22,intercites,Paris-Rouen-Le Havre,
2019-03-22,intercites,Paris-Granville,
2019-03-22,intercites,Caen-Le Mans-Tours,['Passage à niveau en dérangement à Château du Loir']
2019-03-22,intercites,Paris-Toulouse-Latour De Carol/Cerbere/Rodez,['Acte de malveillance entre Pamiers et Saverdun: pierres déposées sur la voie']
2019-03-22,intercites,Paris-Briançon,
2019-07-09,transilien,A,"['Travaux rendus en retard près de Sartrouville', ""Divers signaux d'alarme sur la journée""]"
2019-07-09,transilien,B,"['Panne de signalisation à Sevran et à Gare du Nord', ""Intrusion d'une personne dans une cabine de conduite à Aubervilliers""]"
2019-07-09,transilien,C,
2019-07-09,transilien,D,"['Travaux de nuit rendus en retard entre Creil et Orry', 'Panne de signalisation à Gare du Nord']"
2019-07-09,transilien,E,
2019-07-09,transilien,H,['Obstacle sur les voies à Monsoult-Maflier']
2019-07-09,transilien,J,
2019-07-09,transilien,K,
2019-07-09,transilien,L,
2019-07-09,transilien,N,
2019-07-09,transilien,P,
2019-07-09,transilien,R,['Panne de train']
2019-07-09,transilien,U,
2019-07-09,transilien,T4,['Travaux de modernisation et de prolongement de la ligne']
2019-07-09,transilien,T11,
2019-07-09,ter,Grand Est,
2019-07-09,ter,Nouvelle-Aquitaine,
2019-07-09,ter,Auvergne-Rhône-Alpes,
2019-07-09,ter,Bourgogne-Franche-Comté,
2019-07-09,ter,Bretagne,
2019-07-09,ter,Centre-Val de Loire,
2019-07-09,ter,Occitanie,"['Panne de signalisation à Lunel-Viel (27 trains impactés)', 'Procédure bagage abandonné à Toulouse-Matabiau (13 trains impactés)', 'Jet de pierres sur un train à St-Aunès (9 trains impactés)']"
2019-07-09,ter,Hauts-de-France,"['Incidents électriques à la sous-station de Creil (55 trains impactés) et à Rieux-Angicourt (9 trains impactés)', 'Travaux terminés en retard à Tergnier (7 trains impactés)', 'Intervention des pompiers pour une fuite de gaz de ville à Libercourt (6 trains impactés)']"
2019-07-09,ter,Normandie,"['Chèvres dans les voies à Auffay (4 trains impactés)', ""Avarie d'un passage à niveau à Bréauté-Beuzeville (3 trains impactés)"", ""Conséquence du retard d'un train Transilien au départ de Paris-St-Lazare (3 trains impactés)""]"
2019-07-09,ter,Pays de la Loire,
2019-07-09,ter,Provence-Alpes-Côte d'Azur,
2019-07-09,tgv,nord,"[""Travaux d'entretien des voies terminés en retard sur la LGV (4 TGV retardés)"", 'Panne de signalisation sur la LGV Sud Est près de Tonnerre (3 TGV retardés)', 'Procédure bagage abandonné à Lille Europe']"
2019-07-09,tgv,est,
2019-07-09,tgv,atlantique,['Détection de chutes de pierres entre Angers et Nantes (9 TGV retardés)']
2019-07-09,tgv,sudest,['Panne de signalisation sur la LGV Sud Est près de Tonnerre (43 TGV retardés) et à Lunel (8 TGV retardés)']
2019-07-09,tgv,ouigo,
2019-07-09,tgv,europe,
2019-07-09,intercites,Paris-Limoges-Toulouse,
2019-07-09,intercites,Paris-Clermont,"['Panne de signalisation entre Nevers et Fourchambault', 'Avarie sur un train au départ de Clermont-Ferrand', 'Bâche mal attachée sur un train de marchandises aux environs de La Charité']"
